Title,Author
Mahabharata [Bhagavad Gita],
Epic of Gilgamesh,
The Old Testament,
"Illiad, Odyssey",Homer
Histories,Herodotus
[Plays],Sophocles
[Plays],Aeschyles
"Hippolytus, Bachants, Electra, The Phornician Women",Euripides
The Peloponesian War,Thucydides
Dialogues,Plato
"Poetics, Physics, Ethics, De Anima",Aristotle
Greek Anthology,
On The Nature of Things,Lucretius
Parallel Lives,Plutarch
"Aeneid, Bucolics, Georgics",Virgil
Annals,Tacitus
"Metamorphoses, Heroides, Amores",Ovid
The New Testament,
The Twelve Caesars,Suetonius
Meditations,Marcus Aurelius
[Poems],Catullus
[Poems],Horace
Discourses,Epictetus
[Plays],Aristophanes
"Historical Miscellany, On the Nature of Animals",Aelianus
Argonautica,Apollonius Rhodius
Fourteen Byzantine Rulers,Michael Psellus
The Rise and Fall of the Roman Empire,Edward Gibbon
The Enneads,Plotinus
Ecclesiastical History,Eusebius
Consolations of Philosophy,Boethius
Letters,Pliny the Younger
Byzantine verse romances,
Fragments,Heraclitus
Confessions,St. Augustine
Summa Theologica,Thomas Aquinas
The Little Flowers,St. Francis of Assisi
The Prince,Niccolò Machiavelli
Divide Comedy,Dante Aighieri
Novelle,Franco Sacchetti
Icelandic sagas,
"Anthony and Cleopatra, Hamlet, Macbeth, Henry V",William Shakespeare
,François Rabelais
,Francis Bacon
[Selected Works],Martin Luther
Institutes of the Christian Religion,John Calvin
Essays,Michel de Montaigne
Don Quixote,Miguel de Cervantes
Discourses,René Descartes 
Song of Roland,
Beowulf,
,Benvenuto Cellini
Education of Henry Adams,Henry Adams
The Leviathan,Thomas Hobbes
Thoughts,Blaise Pascal
Paradise Lost,John Milton
,John Donne
,Andrew Marvell
,George Herbert
,Richard Crashaw
Treatises,Baruch Spinoza
"Charterhouse of Parma, The Red and the Black, The Life of Henry Brulard",Stendhal
Gulliver’s Travels,Jonathan Swift
Tristram Shandy,Laurence Sterne
Dangerous Liasons,Choderlos de Laclos
Persian Letters,Baron de Montesquieu
Second Treatise on Government,John Locke
The Wealth of Nations,Adam Smith
Discourse on Metaphysics,Gottfried Leibniz
Everything,David Hume
The Federalist Papers,
Critique of Pure Reason,Immanuel Kant
"Fear and Trembling, Either/Or, Philosophical Fragments",Søren Kierkegaard
"Notes From the Underground, The Possessed",Fyodor Dostoevsky
Democracy in America,Alexis de Tocqueville
"Faust, Italian Journey",Johann Wolfgang von Goethe
Empire of the Czar,"Astolphe-Louis-Léonor, Marquis de Custine"
Mimesis,Eric Auerbach
Conquest of Mexico,William H. Prescott
Labyrinths of Solitude,Octavio Paz:
"The Logic of Scientific Discovery, The Open Society and Its Enemies",Sir Karl Popper
Crowds and Power,Elias Canetti
